Year, Month, Day, Hour, Minute, Open, High, Low, Close, Volume
2013,4,11, 05,41, 159.99, 160.00, 159.99, 160.00, 1.0866
2013,4,11, 05,42, 159.99, 159.99, 156.52, 156.52, 8.3655
2013,4,11, 05,43, 156.51, 156.52, 156.51, 156.52, 32.3503
2013,4,11, 05,44, 163.20, 163.20, 163.20, 163.20, 1.9234
2013,4,11, 05,45, 163.20, 163.21, 163.20, 163.20, 1.8841
2013,4,11, 05,46, 163.20, 163.20, 163.20, 163.20, 1.7233
2013,4,11, 05,48, 163.21, 163.21, 163.21, 163.21, 3.2883
2013,4,11, 05,49, 163.21, 163.21, 163.21, 163.21, 9.9744
2013,4,11, 05,50, 163.21, 163.21, 163.21, 163.21, 20.8335
2013,4,11, 05,51, 163.21, 163.21, 163.21, 163.21, 7.0000
2013,4,11, 05,52, 163.21, 163.21, 163.21, 163.21, 5.7100
2013,4,11, 05,53, 163.21, 163.21, 163.21, 163.21, 21.0000
2013,4,11, 05,54, 163.21, 163.21, 163.20, 163.21, 1.1129
2013,4,11, 05,57, 163.00, 164.00, 163.00, 164.00, 2.8867
2013,4,11, 05,58, 164.00, 164.00, 164.00, 164.00, 3.2598
2013,4,11, 05,59, 164.00, 165.90, 164.00, 165.90, 0.0107
2013,4,11, 06,00, 165.90, 165.91, 165.90, 165.91, 1.6253
2013,4,11, 06,01, 166.68, 166.68, 166.66, 166.66, 8.7840
2013,4,11, 06,03, 166.66, 166.66, 165.91, 165.91, 3.2784
2013,4,11, 06,04, 165.90, 166.50, 165.90, 166.50, 2.9067
2013,4,11, 06,06, 166.50, 167.00, 166.50, 167.00, 19.2498
2013,4,11, 06,07, 166.90, 167.20, 166.90, 167.20, 4.5252
2013,4,11, 06,08, 168.99, 168.99, 168.99, 168.99, 0.0999
2013,4,11, 06,09, 168.95, 169.00, 168.95, 168.95, 12.2251
2013,4,11, 06,10, 169.00, 169.60, 168.95, 169.60, 2.4312
2013,4,11, 06,11, 170.01, 170.01, 170.00, 170.01, 10.1000
2013,4,11, 06,12, 172.33, 172.33, 170.01, 170.01, 5.4999
2013,4,11, 06,13, 170.10, 170.10, 170.10, 170.10, 2.0000
2013,4,11, 06,14, 170.01, 170.01, 170.01, 170.01, 17.9911
2013,4,11, 06,16, 172.29, 172.29, 170.01, 170.01, 1.0680
2013,4,11, 06,17, 170.01, 172.29, 170.01, 172.29, 1.4550
2013,4,11, 06,18, 172.29, 172.30, 170.12, 172.30, 5.2457
2013,4,11, 06,19, 172.30, 172.31, 172.30, 172.31, 6.8049
2013,4,11, 06,20, 172.31, 172.31, 172.30, 172.31, 2.9000
2013,4,11, 06,21, 172.31, 173.25, 172.31, 173.25, 13.1249
2013,4,11, 06,22, 173.25, 175.30, 173.25, 175.30, 12.1515
2013,4,11, 06,23, 175.30, 177.50, 175.30, 177.50, 12.2114
2013,4,11, 06,24, 178.78, 178.94, 178.78, 178.78, 30.6446
2013,4,11, 06,25, 178.78, 178.96, 178.78, 178.96, 26.7304
2013,4,11, 06,26, 178.90, 178.96, 178.78, 178.78, 25.3001
2013,4,11, 06,27, 178.96, 178.96, 178.78, 178.96, 66.7209
2013,4,11, 06,28, 178.96, 178.96, 178.78, 178.78, 13.1209
2013,4,11, 06,29, 178.96, 178.96, 178.96, 178.96, 2.9862
2013,4,11, 06,30, 178.97, 178.99, 178.78, 178.99, 32.3520
2013,4,11, 06,31, 178.99, 178.99, 178.99, 178.99, 71.4856
2013,4,11, 06,33, 178.98, 178.99, 178.98, 178.99, 16.2287
2013,4,11, 06,34, 178.99, 178.99, 178.00, 178.00, 8.2003
2013,4,11, 06,35, 177.50, 178.99, 176.00, 178.00, 30.4998
2013,4,11, 06,36, 178.99, 178.99, 176.00, 176.00, 7.9118
2013,4,11, 06,37, 174.00, 176.00, 174.00, 176.00, 6.5089
2013,4,11, 06,38, 176.00, 176.00, 176.00, 176.00, 14.7000
2013,4,11, 06,39, 176.00, 176.00, 176.00, 176.00, 0.0090
2013,4,11, 06,40, 178.45, 178.45, 178.45, 178.45, 5.7924
2013,4,11, 06,41, 176.00, 176.00, 176.00, 176.00, 1.0000
2013,4,11, 06,42, 178.00, 178.00, 178.00, 178.00, 0.2405
2013,4,11, 06,43, 175.00, 175.00, 175.00, 175.00, 2.0000
2013,4,11, 06,45, 175.01, 175.01, 175.00, 175.00, 2.6363
2013,4,11, 06,46, 175.01, 178.99, 175.01, 178.99, 25.7163
2013,4,11, 06,47, 178.98, 178.98, 178.98, 178.98, 1.9158
2013,4,11, 06,48, 178.90, 178.90, 178.90, 178.90, 3.6254
2013,4,11, 06,49, 175.01, 175.01, 175.01, 175.01, 1.0000
2013,4,11, 06,50, 178.90, 178.90, 174.05, 174.05, 1.6424
2013,4,11, 06,51, 175.00, 175.00, 175.00, 175.00, 3.1763
2013,4,11, 06,52, 178.89, 178.89, 178.89, 178.89, 23.7084
2013,4,11, 06,53, 178.89, 178.89, 178.89, 178.89, 14.1329
2013,4,11, 06,55, 174.01, 174.01, 174.00, 174.00, 6.0000
2013,4,11, 06,56, 173.00, 174.00, 173.00, 174.00, 0.5431
2013,4,11, 06,57, 174.01, 178.89, 174.00, 178.89, 4.6275
2013,4,11, 06,59, 178.00, 178.00, 178.00, 178.00, 1.7914
2013,4,11, 07,00, 174.82, 174.82, 174.02, 174.10, 3.2400
2013,4,11, 07,01, 174.02, 174.02, 174.02, 174.02, 20.0000
2013,4,11, 07,02, 174.02, 174.02, 174.02, 174.02, 0.8500
2013,4,11, 07,03, 177.10, 177.10, 177.10, 177.10, 0.7865
2013,4,11, 07,04, 174.03, 174.03, 174.03, 174.03, 1.2345
2013,4,11, 07,05, 177.00, 177.00, 177.00, 177.00, 1.1575
2013,4,11, 07,06, 176.93, 176.93, 174.20, 174.20, 0.2048
2013,4,11, 07,07, 176.93, 177.00, 176.93, 176.93, 5.9598
2013,4,11, 07,08, 176.93, 176.93, 174.93, 174.93, 8.9613
2013,4,11, 07,09, 174.93, 174.93, 174.09, 174.93, 3.8841
2013,4,11, 07,12, 174.23, 174.93, 171.93, 174.93, 50.0102
2013,4,11, 07,13, 171.93, 171.96, 171.93, 171.96, 10.0998
2013,4,11, 07,14, 171.96, 174.93, 171.96, 174.93, 2.8506
2013,4,11, 07,15, 174.92, 174.92, 174.92, 174.92, 13.0965
